split,case_name,slice_idx,height,width,mask_pixels,mask_ratio,bbox_h,bbox_w,largest_cc_area,top2_cc_sum,fill_ratio,upper_pixels,lower_pixels
train,radiopaedia_7_85703_0.nii.gz,1,630,630,2233,0.005626102292768959,175,71,2020,2233,0.17971830984469067,213,2020
train,radiopaedia_7_85703_0.nii.gz,2,630,630,7837,0.019745527840765935,212,102,5254,7802,0.3624213836310386,2583,5254
train,radiopaedia_7_85703_0.nii.gz,3,630,630,13840,0.034870244394053916,237,131,8264,13840,0.44577575931826663,5576,8264
train,radiopaedia_7_85703_0.nii.gz,4,630,630,18673,0.04704711514235324,249,148,11021,18673,0.5067024856043986,7652,11021
train,radiopaedia_7_85703_0.nii.gz,5,630,630,24008,0.06048878810783573,267,170,13670,24008,0.528927076436904,10338,13670
train,radiopaedia_7_85703_0.nii.gz,6,630,630,29434,0.07415973796926179,281,191,16248,29434,0.5484153453345677,13186,16248
train,radiopaedia_7_85703_0.nii.gz,7,630,630,35100,0.08843537414965986,293,208,18643,35100,0.5759385665434508,16457,18643
train,radiopaedia_7_85703_0.nii.gz,8,630,630,38982,0.0982161753590325,302,222,19659,38982,0.5814390549403163,19659,19323
train,radiopaedia_7_85703_0.nii.gz,9,630,630,43377,0.10928949357520786,312,236,21909,43377,0.5891052803049068,21909,21468
train,radiopaedia_7_85703_0.nii.gz,10,630,630,48555,0.12233560090702948,315,251,25305,48555,0.6141149686888748,25305,23250
train,radiopaedia_7_85703_0.nii.gz,11,630,630,52781,0.13298311917359537,324,263,27328,52781,0.6194080645845725,27328,25453
train,radiopaedia_7_85703_0.nii.gz,12,630,630,55686,0.140302343159486,328,271,29033,55686,0.6264737647305996,29033,26653
train,radiopaedia_7_85703_0.nii.gz,13,630,630,58517,0.14743512219702695,332,281,29830,58517,0.6272456373469618,29830,28687
train,radiopaedia_7_85703_0.nii.gz,14,630,630,60572,0.152612748803225,332,288,30731,60572,0.633492302536882,30731,29841
train,radiopaedia_7_85703_0.nii.gz,15,630,630,61563,0.15510959939531369,336,296,31364,61509,0.6189973455536217,31418,30145
train,radiopaedia_7_85703_0.nii.gz,16,630,630,60768,0.15310657596371882,340,303,31174,60756,0.5898660454223466,31186,29582
train,radiopaedia_7_85703_0.nii.gz,17,630,630,61229,0.15426807760141092,343,313,31937,61229,0.5703201408305748,31937,29292
train,radiopaedia_7_85703_0.nii.gz,18,630,630,62324,0.15702695893172083,346,319,32807,62324,0.5646619674872283,32807,29517
train,radiopaedia_7_85703_0.nii.gz,19,630,630,62005,0.15622323003275385,349,323,32389,62005,0.5500456855895213,32389,29616
train,radiopaedia_7_85703_0.nii.gz,20,630,630,61237,0.15428823381204335,354,326,31639,61237,0.5306315205666127,31639,29598
train,radiopaedia_7_85703_0.nii.gz,21,630,630,60387,0.1521466364323507,356,332,31996,60387,0.5109229050992375,31996,28391
train,radiopaedia_7_85703_0.nii.gz,22,630,630,60958,0.15358528596623836,361,333,32004,60958,0.5070832605416462,32004,28954
train,radiopaedia_7_85703_0.nii.gz,23,630,630,62105,0.15647518266565885,366,334,33410,62105,0.5080412944561039,33410,28695
train,radiopaedia_7_85703_0.nii.gz,24,630,630,60902,0.15344419249181154,370,335,32882,60902,0.4913432835781255,32882,28020
train,radiopaedia_7_85703_0.nii.gz,25,630,630,62311,0.15699420508944317,376,334,34048,62311,0.4961698942500942,34048,28263
train,radiopaedia_7_85703_0.nii.gz,26,630,630,63240,0.15933484504913076,381,336,34574,63240,0.49400074990240284,34574,28666
train,radiopaedia_7_85703_0.nii.gz,27,630,630,65409,0.16479969765684052,386,336,35937,65409,0.5043254996260153,35937,29472
train,radiopaedia_7_85703_0.nii.gz,28,630,630,66639,0.1678987150415722,393,337,35687,66639,0.5031598976109878,35687,30952
train,radiopaedia_7_85703_0.nii.gz,29,630,630,67326,0.16962962962962963,402,338,35218,67326,0.4954958933108459,35218,32108
train,radiopaedia_7_85703_0.nii.gz,30,630,630,66160,0.16669186192995716,409,334,33381,66160,0.4843125484935924,33381,32779
train,radiopaedia_7_85703_0.nii.gz,31,630,630,67604,0.17033005794910558,415,333,34891,67604,0.4891928072615565,32713,34891
train,radiopaedia_7_85703_0.nii.gz,32,630,630,68519,0.17263542454018643,421,328,37086,68519,0.4961980765852485,31433,37086
train,radiopaedia_7_85703_0.nii.gz,33,630,630,67902,0.1710808767951625,424,321,37667,67902,0.4988979016009897,30235,37667
train,radiopaedia_7_85703_0.nii.gz,34,630,630,65732,0.1656135046611237,427,306,38302,65732,0.5030689871538545,27430,38302
train,radiopaedia_7_85703_0.nii.gz,35,630,630,61724,0.15551524313429074,429,289,37457,61724,0.4978504770852159,24267,37457
train,radiopaedia_7_85703_0.nii.gz,36,630,630,53412,0.134572940287226,432,290,31756,53412,0.4263409961651793,21656,31756
train,radiopaedia_7_85703_0.nii.gz,37,630,630,48315,0.12173091458805745,434,276,27292,48315,0.4033510318539759,20995,27320
train,radiopaedia_7_85703_0.nii.gz,38,630,630,41001,0.10330309901738473,433,241,23447,41001,0.3929067683689697,17532,23469
train,radiopaedia_7_85703_0.nii.gz,39,630,630,32476,0.0818241370622323,432,226,19012,32476,0.3326368403767962,13464,19012
train,radiopaedia_7_85703_0.nii.gz,40,630,630,24260,0.06112370874275636,433,178,14054,24260,0.3147624360962872,10206,14054
train,radiopaedia_7_85703_0.nii.gz,41,630,630,14901,0.03754346182917612,422,159,9736,14901,0.22207815433810132,5165,9736
train,coronacases_006.nii.gz,29,512,512,2925,0.011157989501953125,283,67,2101,2925,0.15426401560285513,824,2101
train,coronacases_006.nii.gz,30,512,512,3528,0.013458251953125,287,73,2482,3528,0.16839291679784293,1046,2482
train,coronacases_006.nii.gz,31,512,512,3768,0.014373779296875,291,72,2735,3768,0.17983963343929746,1033,2735
train,coronacases_006.nii.gz,32,512,512,4221,0.016101837158203125,296,75,2972,4221,0.1901351351265705,1249,2972
train,coronacases_006.nii.gz,33,512,512,4715,0.017986297607421875,300,77,3215,4715,0.20411255410371806,1500,3215
train,coronacases_006.nii.gz,34,512,512,5134,0.01958465576171875,307,78,3532,5134,0.21439906455297758,1602,3532
train,coronacases_006.nii.gz,35,512,512,5553,0.021183013916015625,314,80,3763,5553,0.22105891718865212,1790,3763
train,coronacases_006.nii.gz,36,512,512,6158,0.02349090576171875,319,81,4145,6158,0.23832191647361267,2013,4145
train,coronacases_006.nii.gz,37,512,512,6533,0.024921417236328125,323,83,4318,6533,0.2436868215806749,2215,4318
train,coronacases_006.nii.gz,38,512,512,6882,0.02625274658203125,325,85,4635,6882,0.24912217193668335,2247,4635
train,coronacases_006.nii.gz,39,512,512,7351,0.028041839599609375,326,87,4869,7351,0.2591848247563929,2482,4869
